family,model,observation_count,mae,rmse,rmsle,wape_percentage
HOME APPLIANCES,shifted_28_day_mean,3456,0.5921378974615235,0.8193123192877008,0.4518262431496006,146.06913444875266
HOME APPLIANCES,zero,3456,0.4053819444444444,0.9104905576421732,0.47550596817761825,100.0
HOME APPLIANCES,lag_364,3456,0.49971064814814814,1.0133655422512757,0.5091967553483601,123.26909350463954
HOME APPLIANCES,weekly_seasonal_naive,3456,0.5983796296296297,1.0633847079194985,0.5374061346419083,147.60885082084226
HOME APPLIANCES,lag_16,3456,0.6166087962962963,1.0980569960920366,0.5459293107961645,152.10563882940758
HOME CARE,weekly_seasonal_naive,3456,62.37152777777778,98.34758018262461,0.2727795844808477,20.22662953315367
HOME CARE,shifted_28_day_mean,3456,78.65715963752181,123.77800845001988,0.31047491468568683,25.50794063898375
HOME CARE,lag_16,3456,114.3136574074074,184.74884415515749,0.44077051734053707,37.0710816511902
HOME CARE,lag_364,3456,86.1629050925926,135.7099228491499,0.8730335553658127,27.941998904010866
HOME CARE,zero,3456,308.3634259259259,368.10268435159753,5.592453480267522,100.0
LADIESWEAR,shifted_28_day_mean,3456,5.320271161057193,8.720817108857986,0.6080836427190741,46.88252411487712
LADIESWEAR,weekly_seasonal_naive,3456,5.0766782407407405,8.43364967017597,0.6318321444547641,44.735969810551005
LADIESWEAR,lag_16,3456,7.868923611111111,13.752535540630182,0.7927309315037905,69.34139065248986
LADIESWEAR,lag_364,3456,6.440393518518518,11.028634867336802,0.828251081057296,56.75310436268135
LADIESWEAR,zero,3456,11.348090277777779,18.139593422594594,2.2166123141263765,100.0
LAWN AND GARDEN,shifted_28_day_mean,3456,6.164010830131937,11.062249921672315,0.5235637471442492,37.67277031307758
LAWN AND GARDEN,weekly_seasonal_naive,3456,6.036747685185185,11.325760848450594,0.5548265849982291,36.894972323907545
LAWN AND GARDEN,lag_16,3456,8.616608796296296,16.352038962794236,0.6698793413625996,52.662387040868666
LAWN AND GARDEN,lag_364,3456,11.666377314814815,20.4796717751657,1.3026551720144217,71.30174898756786
LAWN AND GARDEN,zero,3456,16.361979166666668,26.154748922589636,2.4860987215608192,100.0
LINGERIE,shifted_28_day_mean,3456,3.5729476672174685,5.833410427877448,0.6903331850061825,52.278184326433404
LINGERIE,lag_16,3456,4.646412037037037,7.286585531214445,0.8867253662708485,67.98475867908552
LINGERIE,weekly_seasonal_naive,3456,4.544849537037037,7.213970981007257,0.8933329753454494,66.4987298899238
LINGERIE,lag_364,3456,4.736979166666667,7.684365892294996,1.0080314366876866,69.30990685859442
LINGERIE,zero,3456,6.8344907407407405,10.04258870824465,1.9160158227588395,100.0
"LIQUOR,WINE,BEER",weekly_seasonal_naive,3456,31.80353009259259,60.70036123588282,0.6365254314272746,32.49374000396146
"LIQUOR,WINE,BEER",shifted_28_day_mean,3456,49.20751703613334,79.78867731179302,0.7451178477732042,50.275433581036076
"LIQUOR,WINE,BEER",lag_16,3456,75.06047453703704,118.37030305711536,1.0568999609150576,76.6894598517704
"LIQUOR,WINE,BEER",lag_364,3456,62.4224537037037,122.36501680612382,1.1305924690581592,63.777164835229804
"LIQUOR,WINE,BEER",zero,3456,97.87586805555556,143.88488136579238,4.242816339649003,100.0
MAGAZINES,shifted_28_day_mean,3456,2.7221498818964593,4.3337584399214535,0.550824262620533,42.574783870363234
MAGAZINES,weekly_seasonal_naive,3456,3.1883680555555554,4.997076691723168,0.6807228942703145,49.86649771462189
MAGAZINES,lag_16,3456,3.860821759259259,6.048439690133744,0.7672165167299421,60.383762501697056
MAGAZINES,lag_364,3456,3.4615162037037037,5.432961601121368,0.7815355004038496,54.13857084672128
MAGAZINES,zero,3456,6.39380787037037,9.890795501280378,1.8272961163261952,100.0
